UUID,Council Code,Council Name,Data Type,Data Source,Age Band,Finance Type,Comparative totals,Value
8511502,624,Peterborough,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,636.211
8511601,624,Peterborough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,8275
8511602,624,Peterborough,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,1221
8511701,624,Peterborough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,4157
8511702,624,Peterborough,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,288
8512101,624,Peterborough,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,0
8512102,624,Peterborough,Mandatory,Bridging Year,-,Income,Other Expenditure,0
8513203,624,Peterborough,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,624,Peterborough,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,848
8326110,625,Bedford Borough,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,841
8328110,625,Bedford Borough,Voluntay,Additional Data,-,Income,Income from Better Care Fund,4488
8510101,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,1865
8510102,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,365
8510201,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,16980
8510202,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,5900
8510301,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,5368
8510302,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,525
8510401,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,3130
8510402,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,1291
8510502,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,1052
8510601,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,988
8510602,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,1
8510701,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,974
8510702,625,Bedford Borough,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,15
8511101,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,3942
8511102,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,748
8511201,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,11065
8511202,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,1237
8511301,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,3074
8511302,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,305
8511401,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,5345
8511402,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,449
8511502,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,553
8511601,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,1749
8511602,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,294
8511701,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,6952
8511702,625,Bedford Borough,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,1
8512101,625,Bedford Borough,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,952
8512102,625,Bedford Borough,Mandatory,Bridging Year,-,Income,Other Expenditure,175
8513203,625,Bedford Borough,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,625,Bedford Borough,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,841
8326110,626,Central Bedfordshire,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,1786
8328110,626,Central Bedfordshire,Voluntay,Additional Data,-,Income,Income from Better Care Fund,4939
8510101,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,5833
8510102,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,765
8510201,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,22546
8510202,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,9327
8510301,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,11602
8510302,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,1574
8510401,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,2281
8510402,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,229
8510502,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,2078
8510601,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,1673
8510602,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,0
8510701,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,1326
8510702,626,Central Bedfordshire,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,231
8511101,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,5989
8511102,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,0
8511201,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,12983
8511202,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,956
8511301,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,4445
8511302,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,0
8511401,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,4068
8511402,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,57
8511502,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,510
8511601,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,3631
8511602,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,0
8511701,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,14083
8511702,626,Central Bedfordshire,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,4
8512101,626,Central Bedfordshire,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,648
8512102,626,Central Bedfordshire,Mandatory,Bridging Year,-,Income,Other Expenditure,0
8513203,626,Central Bedfordshire,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,626,Central Bedfordshire,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,1786
8326110,702,Camden,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,0
8328110,702,Camden,Voluntay,Additional Data,-,Income,Income from Better Care Fund,16965
8510101,702,Camden,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,13676
8510102,702,Camden,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1556
8510201,702,Camden,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,22554
8510202,702,Camden,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,7678
8510301,702,Camden,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,14556
8510302,702,Camden,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,2966
8510401,702,Camden,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,7457
8510402,702,Camden,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,5631
8510502,702,Camden,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,2608
8510601,702,Camden,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,4205
8510602,702,Camden,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,991
8510701,702,Camden,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,4579
8510702,702,Camden,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,638
8511101,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,579
8511102,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,169
8511201,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,11210
8511202,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,2431
8511301,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,3203
8511302,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,504
8511401,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,1097
8511402,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,722
8511502,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,949
8511601,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,6769
8511602,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,1063
8511701,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,15520
8511702,702,Camden,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,2233
8512101,702,Camden,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,4285.225
8512102,702,Camden,Mandatory,Bridging Year,-,Income,Other Expenditure,959.289
8513203,702,Camden,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,702,Camden,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,0
8326110,703,Greenwich,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,295.15774
8328110,703,Greenwich,Voluntay,Additional Data,-,Income,Income from Better Care Fund,12597
8510101,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,5455.9
8510102,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,456.5
8510201,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,19910.21927
8510202,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,10199.69526
8510301,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,10827.86868
8510302,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,188
8510401,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,5234.6
8510402,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,1351.1
8510502,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,1417.98166
8510601,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,3141.486349
8510602,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,287.49708
8510701,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,2289
8510702,703,Greenwich,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,38
8511101,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,3170
8511102,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,265.2
8511201,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,22349.10066
8511202,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,4820.174796
8511301,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,3375.220049
8511302,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,1091
8511401,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,1435.4
8511402,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,636.8
8511502,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,203.81152
8511601,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,6470.709081
8511602,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,150.13836
8511701,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,19091.03628
8511702,703,Greenwich,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,188
8512101,703,Greenwich,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,7675
8512102,703,Greenwich,Mandatory,Bridging Year,-,Income,Other Expenditure,4208
8513203,703,Greenwich,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,2408
8513303,703,Greenwich,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,295.15774
8326110,704,Hackney,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,1730
8328110,704,Hackney,Voluntay,Additional Data,-,Income,Income from Better Care Fund,9166
8510101,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,6345
8510102,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,2288
8510201,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,8814
8510202,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,2175
8510301,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,13033
8510302,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,930
8510401,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,4197
8510402,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,1049
8510502,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,1695
8510601,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,2462
8510602,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,404
8510701,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,7812
8510702,704,Hackney,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,5119
8511101,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,5710
8511102,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,1243
8511201,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,14784
8511202,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,3272
8511301,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,4060
8511302,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,1033
8511401,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,3853
8511402,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,380
8511502,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,477
8511601,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,2269
8511602,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,309
8511701,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,9950
8511702,704,Hackney,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,3546
8512101,704,Hackney,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,5044
8512102,704,Hackney,Mandatory,Bridging Year,-,Income,Other Expenditure,79
8513203,704,Hackney,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,704,Hackney,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,1730
8326110,705,Hammersmith and Fulham,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,1627
8328110,705,Hammersmith and Fulham,Voluntay,Additional Data,-,Income,Income from Better Care Fund,2000
8510101,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,6371
8510102,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1545
8510201,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,15245
8510202,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,6322
8510301,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,4553
8510302,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,82
8510401,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,5215
8510402,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,1783
8510502,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,0
8510601,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,3952
8510602,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,328
8510701,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,2621
8510702,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,1465
8511101,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,5266
8511102,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,1277
8511201,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,12599
8511202,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,5225
8511301,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,3763
8511302,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,68
8511401,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,4310
8511402,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,1474
8511502,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,0
8511601,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,3266
8511602,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,271
8511701,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,8872
8511702,705,Hammersmith and Fulham,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,1216
8512101,705,Hammersmith and Fulham,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,8613
8512102,705,Hammersmith and Fulham,Mandatory,Bridging Year,-,Income,Other Expenditure,1351
8513203,705,Hammersmith and Fulham,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,705,Hammersmith and Fulham,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,1627
8326110,706,Islington,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,746
8328110,706,Islington,Voluntay,Additional Data,-,Income,Income from Better Care Fund,10075
8510101,706,Islington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,6558.49
8510102,706,Islington,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,480.58
8510201,706,Islington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,20284.34
8510202,706,Islington,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,9338.52
8510301,706,Islington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,8718.79
8510302,706,Islington,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,2105.34
8510401,706,Islington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,8704.12
8510402,706,Islington,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,2745.38
8510502,706,Islington,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,2000.71
8510601,706,Islington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,1891.99
8510602,706,Islington,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,43.92
8510701,706,Islington,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,1501.07
8510702,706,Islington,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,34.85
8511101,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,4708.36
8511102,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,89.84
8511201,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,13256.45
8511202,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,4866.74
8511301,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,3816.81
8511302,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,85.52
8511401,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,7441.19
8511402,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,1595.93
8511502,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,1702.03
8511601,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,7167.87
8511602,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,160.6
8511701,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,11501.01
8511702,706,Islington,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,1308.76
8512101,706,Islington,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,2033.22
8512102,706,Islington,Mandatory,Bridging Year,-,Income,Other Expenditure,554.72
8513203,706,Islington,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,5017
8513303,706,Islington,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,746
8326110,707,Kensington and Chelsea,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,1126
8328110,707,Kensington and Chelsea,Voluntay,Additional Data,-,Income,Income from Better Care Fund,0
8510101,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,7048
8510102,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1417
8510201,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,12523
8510202,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,3774
8510301,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,5912
8510302,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,1164
8510401,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,3574
8510402,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,982
8510502,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,488
8510601,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,3182
8510602,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,290
8510701,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,3994
8510702,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,678
8511101,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,4237
8511102,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,874
8511201,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,7343
8511202,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,2060
8511301,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,1388
8511302,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,179
8511401,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,3677
8511402,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,539
8511502,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,285
8511601,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,4428
8511602,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,1975
8511701,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,11057
8511702,707,Kensington and Chelsea,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,6212
8512101,707,Kensington and Chelsea,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,0
8512102,707,Kensington and Chelsea,Mandatory,Bridging Year,-,Income,Other Expenditure,0
8513203,707,Kensington and Chelsea,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,707,Kensington and Chelsea,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,1126
8326110,708,Lambeth,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,399.4
8328110,708,Lambeth,Voluntay,Additional Data,-,Income,Income from Better Care Fund,12076
8510101,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,4408.4
8510102,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,892.7
8510201,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,18786.62
8510202,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,8298.26
8510301,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,6966.15
8510302,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,0
8510401,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,4472.52
8510402,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,553.94
8510502,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,1914.71
8510601,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,3451.29
8510602,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,301.49
8510701,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,19848.9
8510702,708,Lambeth,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,13152.89
8511101,708,Lambeth,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,5461.17
8511102,708,Lambeth,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,279.39
8511201,708,Lambeth,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,23273.04
