UUID,Council Code,Council Name,Care Type,Activity Provision,Age Bands,Primary support reason,Long Term Support Setting,Short Term Purpose,Data Type,Value,Notes
8632402,409,Sandwell,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,680,
8632501,409,Sandwell,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,0,
8632502,409,Sandwell,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,793,
8632601,409,Sandwell,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,0,
8632602,409,Sandwell,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,2008,
8632701,409,Sandwell,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,0,
8632702,409,Sandwell,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,0,
8632801,409,Sandwell,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,261,
8632802,409,Sandwell,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,6167,
8632901,409,Sandwell,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,0,
8632902,409,Sandwell,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,657,
8633001,409,Sandwell,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,0,
8633002,409,Sandwell,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,128,
8633101,409,Sandwell,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,0,
8633102,409,Sandwell,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,6512,
8633201,409,Sandwell,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,0,
8633202,409,Sandwell,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,0,
8633301,409,Sandwell,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,399,
8633302,409,Sandwell,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,11071,
8633401,409,Sandwell,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,0,
8633402,409,Sandwell,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,157,
8633501,409,Sandwell,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,0,
8633502,409,Sandwell,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,0,
8633602,409,Sandwell,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,1908,
8633702,409,Sandwell,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,0,
8633802,409,Sandwell,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,736,
8633902,409,Sandwell,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,172,
8634002,409,Sandwell,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,314,
8634102,409,Sandwell,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,5397,
8634202,409,Sandwell,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,0,
8634302,409,Sandwell,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,3311,
8634402,409,Sandwell,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,157,
8634502,409,Sandwell,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,0,
8634602,409,Sandwell,Long term,External,Age 85 and over,Physical support,Nursing,-,Voluntary,9992,
8634702,409,Sandwell,Long term,External,Age 85 and over,Sensory support,Nursing,-,Voluntary,0,
8634802,409,Sandwell,Long term,External,Age 85 and over,Support with memory and cognition,Nursing,-,Voluntary,3945,
8634902,409,Sandwell,Long term,External,Age 85 and over,Learning disability support,Nursing,-,Voluntary,0,
8635002,409,Sandwell,Long term,External,Age 85 and over,Mental health support,Nursing,-,Voluntary,2,
8610101,410,Solihull,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,52,
8610102,410,Solihull,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,321.57,
8610201,410,Solihull,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,410,Solihull,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,140.43,
8610301,410,Solihull,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,52,
8610302,410,Solihull,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,97.71,
8610401,410,Solihull,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,2173.14,
8610402,410,Solihull,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,4901.14,
8610501,410,Solihull,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,0,
8610502,410,Solihull,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,1045.43,
8610601,410,Solihull,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,2444.71,
8610602,410,Solihull,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,5407.73,
8610701,410,Solihull,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,12.86,
8610702,410,Solihull,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,117.57,
8610801,410,Solihull,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,1097.71,
8610802,410,Solihull,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,2229,
8610901,410,Solihull,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,826.86,
8610902,410,Solihull,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,679.86,
8611001,410,Solihull,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,945.71,
8611002,410,Solihull,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,1210.29,
8611102,410,Solihull,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,324.14,
8611202,410,Solihull,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,0,
8611302,410,Solihull,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,52,
8611402,410,Solihull,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,142.14,
8611502,410,Solihull,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,194,
8611602,410,Solihull,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,6449.14,
8611702,410,Solihull,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,48.57,
8611802,410,Solihull,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,1428.43,
8611902,410,Solihull,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,0,
8612002,410,Solihull,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,728.43,
8622101,410,Solihull,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,423.7142857,
8622102,410,Solihull,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,126,
8622201,410,Solihull,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,24.28571429,
8622202,410,Solihull,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,8.285714286,
8622301,410,Solihull,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,3.857142857,
8622302,410,Solihull,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,410,Solihull,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,41.42857143,
8622402,410,Solihull,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,17.28571429,
8622501,410,Solihull,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,516.4285714,
8622502,410,Solihull,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,26,
8622601,410,Solihull,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,2263.714286,
8622602,410,Solihull,Short term,External,Age 65 and over,Physical support,-,To maximise independence,Mandatory,1933.857143,
8622701,410,Solihull,Short term,In house,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,84.14285714,
8622702,410,Solihull,Short term,External,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,26.71428571,
8622801,410,Solihull,Short term,In house,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,365.7142857,
8622802,410,Solihull,Short term,External,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,144.4285714,
8622901,410,Solihull,Short term,In house,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8622902,410,Solihull,Short term,External,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,6.285714286,
8623001,410,Solihull,Short term,In house,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,269.5714286,
8623002,410,Solihull,Short term,External,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,99.42857143,
8623101,410,Solihull,Short term,In house,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623102,410,Solihull,Short term,External,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623201,410,Solihull,Short term,In house,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623202,410,Solihull,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623301,410,Solihull,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623302,410,Solihull,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623401,410,Solihull,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623402,410,Solihull,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623501,410,Solihull,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623502,410,Solihull,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623601,410,Solihull,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623602,410,Solihull,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623701,410,Solihull,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623702,410,Solihull,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623801,410,Solihull,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623802,410,Solihull,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623901,410,Solihull,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8623902,410,Solihull,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8624001,410,Solihull,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624002,410,Solihull,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624101,410,Solihull,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624102,410,Solihull,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624201,410,Solihull,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624202,410,Solihull,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624301,410,Solihull,Short term,In house,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624302,410,Solihull,Short term,External,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624401,410,Solihull,Short term,In house,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624402,410,Solihull,Short term,External,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624501,410,Solihull,Short term,In house,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8624502,410,Solihull,Short term,External,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8632101,410,Solihull,Long term,In house,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632102,410,Solihull,Long term,External,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632201,410,Solihull,Long term,In house,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632202,410,Solihull,Long term,External,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632301,410,Solihull,Long term,In house,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632302,410,Solihull,Long term,External,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632401,410,Solihull,Long term,In house,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632402,410,Solihull,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632501,410,Solihull,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632502,410,Solihull,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632601,410,Solihull,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632602,410,Solihull,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632701,410,Solihull,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632702,410,Solihull,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632801,410,Solihull,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632802,410,Solihull,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632901,410,Solihull,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8632902,410,Solihull,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8633001,410,Solihull,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633002,410,Solihull,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633101,410,Solihull,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633102,410,Solihull,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633201,410,Solihull,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633202,410,Solihull,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633301,410,Solihull,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633302,410,Solihull,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633401,410,Solihull,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633402,410,Solihull,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633501,410,Solihull,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633502,410,Solihull,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633602,410,Solihull,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,,
8633702,410,Solihull,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,,
8633802,410,Solihull,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,,
8633902,410,Solihull,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,,
8634002,410,Solihull,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,,
8634102,410,Solihull,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,,
8634202,410,Solihull,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,,
8634302,410,Solihull,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,,
8634402,410,Solihull,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,,
8634502,410,Solihull,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,,
8634602,410,Solihull,Long term,External,Age 85 and over,Physical support,Nursing,-,Voluntary,,
8634702,410,Solihull,Long term,External,Age 85 and over,Sensory support,Nursing,-,Voluntary,,
8634802,410,Solihull,Long term,External,Age 85 and over,Support with memory and cognition,Nursing,-,Voluntary,,
8634902,410,Solihull,Long term,External,Age 85 and over,Learning disability support,Nursing,-,Voluntary,,
8635002,410,Solihull,Long term,External,Age 85 and over,Mental health support,Nursing,-,Voluntary,,
8610101,411,Walsall,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,0,
8610102,411,Walsall,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,217,
8610201,411,Walsall,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,411,Walsall,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610301,411,Walsall,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,0,
8610302,411,Walsall,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,34,
8610401,411,Walsall,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,0,
8610402,411,Walsall,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,4321,
8610501,411,Walsall,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,0,
8610502,411,Walsall,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,938,
8610601,411,Walsall,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,0,
8610602,411,Walsall,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,16869,
8610701,411,Walsall,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,0,
8610702,411,Walsall,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,246,
8610801,411,Walsall,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,0,
8610802,411,Walsall,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,1421,
8610901,411,Walsall,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,0,
8610902,411,Walsall,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,894,
8611001,411,Walsall,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,0,
8611002,411,Walsall,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,3422,
8611102,411,Walsall,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,468,
8611202,411,Walsall,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,52,
8611302,411,Walsall,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,6,
8611402,411,Walsall,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,104,
8611502,411,Walsall,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,1351,
8611602,411,Walsall,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,7500,
8611702,411,Walsall,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,156,
8611802,411,Walsall,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,432,
8611902,411,Walsall,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,52,
8612002,411,Walsall,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,2070,
8622101,411,Walsall,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,990,
8622102,411,Walsall,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,0,
8622201,411,Walsall,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622202,411,Walsall,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622301,411,Walsall,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622302,411,Walsall,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,411,Walsall,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,0,
8622402,411,Walsall,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,0,
8622501,411,Walsall,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622502,411,Walsall,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622601,411,Walsall,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,16308,
8622602,411,Walsall,Short term,External,Age 65 and over,Physical support,-,To maximise independence,Mandatory,0,
8622701,411,Walsall,Short term,In house,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,0,
8622702,411,Walsall,Short term,External,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,0,
8622801,411,Walsall,Short term,In house,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622802,411,Walsall,Short term,External,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,1300,
8622901,411,Walsall,Short term,In house,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8622902,411,Walsall,Short term,External,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8623001,411,Walsall,Short term,In house,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,0,
8623002,411,Walsall,Short term,External,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,0,
8623101,411,Walsall,Short term,In house,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623102,411,Walsall,Short term,External,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623201,411,Walsall,Short term,In house,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623202,411,Walsall,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623301,411,Walsall,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623302,411,Walsall,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623401,411,Walsall,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623402,411,Walsall,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623501,411,Walsall,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623502,411,Walsall,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623601,411,Walsall,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623602,411,Walsall,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623701,411,Walsall,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623702,411,Walsall,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623801,411,Walsall,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623802,411,Walsall,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623901,411,Walsall,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8623902,411,Walsall,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8624001,411,Walsall,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624002,411,Walsall,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624101,411,Walsall,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624102,411,Walsall,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624201,411,Walsall,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624202,411,Walsall,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624301,411,Walsall,Short term,In house,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624302,411,Walsall,Short term,External,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624401,411,Walsall,Short term,In house,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624402,411,Walsall,Short term,External,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624501,411,Walsall,Short term,In house,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8624502,411,Walsall,Short term,External,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8632101,411,Walsall,Long term,In house,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632102,411,Walsall,Long term,External,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632201,411,Walsall,Long term,In house,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632202,411,Walsall,Long term,External,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632301,411,Walsall,Long term,In house,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632302,411,Walsall,Long term,External,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632401,411,Walsall,Long term,In house,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632402,411,Walsall,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632501,411,Walsall,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632502,411,Walsall,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632601,411,Walsall,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632602,411,Walsall,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632701,411,Walsall,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632702,411,Walsall,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632801,411,Walsall,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632802,411,Walsall,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632901,411,Walsall,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8632902,411,Walsall,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8633001,411,Walsall,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633002,411,Walsall,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633101,411,Walsall,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633102,411,Walsall,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633201,411,Walsall,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633202,411,Walsall,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633301,411,Walsall,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633302,411,Walsall,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633401,411,Walsall,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633402,411,Walsall,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633501,411,Walsall,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633502,411,Walsall,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633602,411,Walsall,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,,
8633702,411,Walsall,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,,
8633802,411,Walsall,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,,
8633902,411,Walsall,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,,
8634002,411,Walsall,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,,
8634102,411,Walsall,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,,
8634202,411,Walsall,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,,
8634302,411,Walsall,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,,
8634402,411,Walsall,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,,
8634502,411,Walsall,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,,
