,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NW,NE,YH,WM,EM,E,SE,L,SW,Eng
Total expenditure on home care services,2013 - 2014,Adults aged 18 to 64,Gross total cost: total expenditure,19239.85,9291.44,1692,26249.85,1481,2697,6172.05,2272,4970,4762,4308,4159.45,4297,6911,6983,2748,7603,7261,7303.13,3406,55744,1602.89,6665,2549.95,1295,1320.4,17136,1767,2528,1187,18436,4638,1339,20764,8293,2423,3123.25,17087,11156,2192,1680.8,1225,3027,4474.48,8493,34513.12,8355,1679,16208.12,19252.65,17114.03,30447,9010.44,15267.23,4907,5923.27,10524,3997,10398,7394,6730,9796,6290.1,7010,3757,13963,11087,5076,6032,3080.79,722,4122.2,7075,11456,5578.19,5327,15223,1511.3,2438,2365,7552,1989,1698.73,5172,4068,464,67581,1377.47,1667.65,16038,10994,3115,2227.41,4362,1985.86,2961,2161,2310.38,1163.41,6063.08,3352.7,5126,9997.45,1711,4528,0,1151.76,6511,1080,2156,2766,2745,2960.26,10376.32,3405.5,736,2181,3156.81,1768,272,3713,2421.45,3351,1100,8377,1801,1716.71,36096.48,3746,2327,4242,6086.62,51104,7314.35,4054,3302.02,5330,5231.78,6751,11113,1933.27,7027,23505,32017.62,0,1620,2611,2889.86,3311,6571,1285.19,4374.84,211314.27,72351.79,130295.36,144808.06,54914.99,136769.01,156783.57,107750.99,109850.93,1124838.97
Total expenditure on home care services,2013 - 2014,Adults aged 18 to 64,Income: total,0,1039.53,0,1467.5,126,720,1482,1173,782,1462,147,26.48,230,840,417,130,503,71.78,292.45,617,1810,831.93,1623,0,0,3.54,2634,854,0,16,1772,444,0,2558,1841,120,37.65,1621,1542,31,52.73,188,670,278.05,1603,2828.49,693,285,660.3,180.1,170.14,0,1117.1,218.98,0,0,13,32,985,379,167,248,633.67,2763,4,516,1471,326,1010,372.81,218,452.83,1049,0,268.42,48,2328,0,0,0,122,15,297,200,104,0,479,0,177.4,2079,1140,0,0,1178,62.04,45,57,297.49,139.96,111.47,0,14,377.45,0,144,0,0,434,80,138,58,359,122.02,997.12,258.02,0,235,0,0,29,57,53.83,612,6,0,228,160.31,2053.91,1274,2,372,761.55,511,659.63,250,9,12,801.95,15,731,72.06,152,2160,7297.86,0,155,19,478.57,496,107,0,0,17421.33,8655.52,10627.7,6726.89,5419.64,6471.82,6518.9,6093.4,12817.93,80753.13
Total expenditure on community-based services,2014 - 2015,Adults aged 18 to 64,Gross total cost: total expenditure,17643.43,7515,3081,6288.03,7560,4070,4602,1215,4500,4131,5293,1179,809,11293,8944.6,6459,4892,12825,5151,7432,19737,4455,4744,6207.95,1323.5,1662.31,8000,94,4980,3805,2746,1475.6,1701,2839,6001.44,6300,1232,8674,2208,2910.42,9171,3441,11635.09,6121.56,1269,23649.76,1218,3193,4547,3579,8288,17844.9,691,5538.69,4981,614.84,5271,5212,12273,3427,3708,15224,3190,2695,5892,1266,10219,2347,4837,15826,205,13791.54,3786,4097,22116.14,12254,11154.31,935,14162,1333,603,3070.01,2187,4589,1784,1015.86,46470,3280.29,98,9833,6084.52,5047,4027,131.35,1399.12,3855,3668,9266,4553,5291.94,7008.37,2325,10916.16,9634,1629,7,3221,2365.99,3394,5090,2183,1590.77,1450,3909,8349.02,5686,474,5028.81,6667.56,2705.53,0,4200.06,6646,2709,1962,5308,2114.65,29520.45,19594,8087,1549,368.47,23393,3077,1671,11748,1504,34,1929,20302,2548.37,15585,10907,10635,0,770.65,9473,2513.51,6415,41169,4118,1307.96,130340.31,50243.03,103220.36,88958.42,58169.54,113142.26,156470.33,132623.66,114861.59,948029.5
Total expenditure on community-based services,2014 - 2015,Adults aged 18 to 64,Income: total,994.1,750,0,1310.87,1894,1875,1430,113,897,1434,410,1164,114,573,1922.38,1075,1184,840,1203.54,1265,2183,598,615,1418.43,112.5,306.37,22,0,1000,89,36,545.19,534,1611,198.61,1600,105,1228,314,51.9,383,443,6203.87,896.04,801,4457.68,411,1711,399,339.38,2450,7,301,17.39,84,229.95,369,10,769,750,470,2943.63,1043,74,3186,282,2498,954,1193,8414,0,1707.31,768,265,1158.45,106,832.27,21,346,110,81,182.13,136,785,48,44.12,307,663.78,19,4659,528.81,302,52,75.42,1016.16,150,1397,1886,487,532.52,553.59,35,1168.41,676,509,0,473,740.85,222,783,687,442.38,1207,899,1357.95,544,85,113.22,1677.12,331.79,0,47.66,473,1212,400,422,667.4,12244.69,2562,453,184,15.59,2049,652,204,3954,141,0,20,804,799.5,2951,1898,4427,0,193.82,344,20.42,531,5739,907,328.88,24351.78,11391.87,13318.21,9517.97,19002.31,8808.31,25915.84,20604.08,18012.71,150923.08
Total expenditure on community-based services,2013 - 2014,Adults aged 18 to 64,Gross total cost: total expenditure,10564.59,8422.6,5458,2123.01,4468,3813,9428,1729,3446,3499,4698,19360.05,1566,4724,6976,6039,6370,10892.03,5444.01,8781,16074,4922.55,3593,3749.31,2315,1180.78,10659,6218,5220,4092,8829,2336,4657,5837,5981,5067,2866.39,7754,5125,19924,6501.31,4092,10009,2796.53,3583,22278.14,2488,2196,4608.23,7292.44,6078.38,16100,5895.03,5438.43,6026,3796.12,7627,4896,14787,5006,3927,5301,4712.3,2904,7843,13623,33102,3075,14258,12078.58,642,13629.63,7553,21601,22755.1,8407,11135,2891.39,11285,4523.69,1601,1586,2081.12,4415,2447,2733,16371,3028.24,1456.49,8478,4330,3387,3678.42,4295,5330.27,3852,2684,7188.91,4602.59,8199.12,6699.45,6403,7923.92,4606,4980,3.15,2978.58,5430,4592,6507,4485,6654,4177.49,8492.01,8656.66,6769,3049,3927.2,3317,1636,4047,4690.26,6652,1473,1460,6033,913.8,15601.39,6670,8874,2902,2482.62,17238,7027.58,3977,8552.07,5068,5223.07,2856,19791,3513.62,11452,13355,8509.02,0,3037,7683,3350.06,6586,41525,2813.31,2755.44,154097.63,68010.66,97937.67,92494.26,105804.22,99111.64,127431.27,161793.62,123403.53,1030084.49
Total expenditure on community-based services,2013 - 2014,Adults aged 18 to 64,Income: total,208.79,1534.18,28,18.95,989,1580,1147,61,330,687,146,279.56,150,273,366,475,783,682.28,1450.47,1665,1273,556.52,306,0,14,14.5,948,1200,485,79,727,496,230,2311,265,1083,309.38,716,513,465,145.58,497,664,160.29,253,1505.46,0,356,2.05,408.33,2784.18,7,1348.67,110.65,5,248.07,1341,52,696,641,562,850,152.88,154,1595,1374,8482,9,2952,6989.57,208,3546.49,1126,18,691.18,1307,201,7.95,4665,418,28,82,169,809,75,0,1279,30.63,10.33,330,632,57,160.68,248,66.94,116,290,636.28,428.52,521.12,351.28,745,103.13,0,813,0,91.5,175,106,1158,241,366,1271.26,750.36,1210.95,365,230,52.28,345,222,410,72.21,401,177,0,284,225.99,320,1577,390,354,161.06,565,1595.06,548,2207.59,24,1010.04,89,957,480.22,612,6532,2195.07,0,347,1773,199.46,489,2689,0,125.52,11879.89,6950.69,10006.77,8952.45,26282.06,3417.78,16052.86,12247.81,16966.16,112756.46
Total fairer charging income,2014 - 2015,Adults aged 18 to 64,Income: total,1600.66,820,829,547.4,0,902,1146,673,1044,297,766,5616,594,1669,1530,375,2108,1932,921.49,1268,2620,1299,763,0,316,173.91,2758,544,287,497,1713,1271,777,269,1368,360,461.79,1121,314,71.8,6849,471,1520.22,0,0,3048.68,0,278,1574,1424,230,2273.99,875,471.41,389,888.77,1491,762,937,668,757,1683,1223.63,259,620,0,2068,462,0,3299,129,1206.61,355,2514,165.79,1139,3045.89,422,903,0,695,667.5,935,487,226,356.77,1815,205.21,0,1743,640.74,551,547,454.75,396.17,563,105,738,0,599.77,408.51,201,0,890,471,0,129,359.53,318,430,245,1472.06,0,0,302.84,233,36,452.24,234.78,728,0,236.75,254,124,430,0,750.24,570.64,923,1314,414,414.12,2913,564,0,2411,421,0,392,4106,450,537.56,1659,326,0,860,444,319.01,1147,0,911,287.41,25276.15,13234.4,18277.4,12908.8,8139.61,11649.64,18518.16,10812.4,9025.1,127841.66
Total fairer charging income,2013 - 2014,Adults aged 18 to 64,Income: total,1667,862.84,410,1623.48,375,760,1108,207,887,288,621,3688.5,695,0,456,214,1229,1502,787.48,1298,1978,1224.28,460,437.44,367,161.57,1268,558,270,571,267,1394,87,725,539,40,903.85,1714,544,5,356.16,512,2144,517.79,803,5625.76,294,333,527.63,1344.94,1047,1415,760.83,41.89,1454,816.59,1107,311,1407,760,552,1223,1113.22,523,486,560,-1,108,441,680,54,771.15,561,2635,710.88,3234,4044,447.16,1654,462,585,178,251,501,296,287.51,1451,293.31,0,272,0,399,379.48,707,242,0,68,375.71,0,57.13,363.75,231,0,702,242,0,522.28,670,0,214,299,529,289.33,515.62,304.69,264,0,189.23,184,206,303,468,222,234,0,635,200.66,407.35,313,713,164,349.07,2097,366.95,310,475.39,554,0,370,4419,272.27,82,36,3700.9,0,56,374,175.32,1005,0,0,261.48,21185.13,11525.82,11940.77,12531.53,3660.15,10631.82,16864.13,9037.75,7286.77,104663.87
Total expenditure on Direct Payments,2014 - 2015,Adults aged 18 to 64,Gross total cost: total expenditure,7425.18,2780,2308,5234,5421.6,2868,3445,3830,4507,4723,4041,6921,3835,2338,3873,4943,18750,5128,6160,8808,9348,5115,9441,4591.13,2358,3802.74,7857.3,3100,5434,4308,4983,6328,2642,2784,4562.54,2242,6134,9635,4764,13892.24,7801,5757,6602.28,2906.48,3716,20235.53,2966,1738,7057,7938,8984,16878.01,6069,6031.87,4111,3524.21,5069,4023,15490,3913,4061,10646,4331,1962,11743,26308,11580,7234,20451,11409.8,571,25208.63,7008,18307,19594.54,15875,12671.97,3597,6467,3555,1473,1967.16,1969,587,1152,4104.31,34648,4486.45,2671,12991,6526.55,1691,4007,5026.11,6442,3265,2352,5787,3089,3439.31,4254.16,5837,5623.5,3439,1599,0,4608,7254.04,739,3847,3316,6129.33,5582,9691,4765.89,5530,4390,2518.18,2991.88,3383,2807,8377.5,6530,3401,5891,5646,6796.15,28058.31,13886,6763,4821,2343.78,19188,1809,3827,14641,5101,7154,2356,32179,6053,10197,9245,10912,0,1585,9262,4831.59,6976,17599,6895,2976,141851.25,49913.6,95613.17,95093.08,121513.43,121191.52,168687.93,147550.91,103916.37,1045331.26
Total expenditure on Direct Payments,2014 - 2015,Adults aged 18 to 64,Income: total,348.08,44,137,1136.9,972.94,0,49,604,410,922,706,838,218,1254,384,822,2459,433,659.12,0,302,1250,1581,1547.86,0,348.13,1506,598,0,442,0,1393,0,304,457,0,0,1355,292,417,0,931,0,139.16,585,2088.88,596,53,0,517.79,155,2907.43,257,0,0,350.54,0,451,783,184,357,226,75.82,118,1177,1722,842,496,5477,2486.8,275,7064.98,2062,889,1193.16,0,833.24,0,617,509,168,209.76,47,24,273,0,2043,459.08,0,2125,630,3,0,0,108.88,186,133,128,543,70,0,167,1878.94,195,82,0,259,1257.95,0,405,303,0,215.28,2154,344.11,80,55,134.66,477.08,407,434,712.63,373,593,508,9,604.72,31.56,2160,387,391,171.39,1965,0.09,374,1540,586,190,65,246,39,954,1027,2485,0,381,545,449.95,209,271,248,585.82,9918.91,6037.84,13144.11,5864.79,21602.78,8175.48,9394.12,12213.52,8360.15,94711.71
Total expenditure on Direct Payments,2014 - 2015,Adults aged 18 to 64,Net total expenditure,7077.11,2736,2171,4097.1,4448.66,2868,3396,3226,4097,3801,3335,6083,3617,1084,3489,4121,16291,4695,5500.88,8808,9046,3865,7860,3043.27,2358,3454.6,6351.3,2502,5434,3866,4983,4935,2642,2480,4105.54,2242,6134,8280,4472,13475.24,7801,4826,6602.28,2767.32,3131,18146.65,2370,1685,7057,7420.21,8829,13970.58,5812,6031.87,4111,3173.67,5069,3572,14707,3729,3704,10420,4255.18,1844,10566,24586,10738,6738,14974,8923,296,18143.65,4946,17418,18401.38,15875,11838.73,3597,5850,3046,1305,1757.4,1922,563,879,4104.31,32605,4027.37,2671,10866,5896.55,1688,4007,5026.11,6333.13,3079,2219,5659,2546,3369.31,4254.16,5670,3744.56,3244,1517,0,4349,5996.1,739,3442,3013,6129.33,5366.72,7537,4421.77,5450,4335,2383.53,2514.8,2976,2373,7664.88,6157,2808,5383,5637,6191.42,28026.75,11726,6376,4430,2172.4,17223,1808.91,3453,13101,4515,6964,2291,31933,6014,9243,8218,8427,0,1204,8717,4381.63,6767,17328,6647,2390.19,131932.34,43875.76,82469.05,89228.3,99910.65,113016.03,159293.8,135337.39,95556.22,950619.54
Total expenditure on Direct Payments,2013 - 2014,Adults aged 18 to 64,Gross total cost: total expenditure,6217,2533.27,2756,6378.16,5404,2687,3863,3822,4070,5199,3992,7566.31,3603,3733,4510,5021,20669,4846.32,4739.08,7469,8006,4460.31,8757,4528.7,2402,3401.34,7728,3021,5652,4633,5066,6836,5089,3245,4547,1457,4864.34,7680,4510,9882,6116.96,6546,5268,2722.26,3506,21935.78,4163,1534,6844.22,7270.71,8664.75,16083,5174.35,5924.73,4115,4264.85,4097,4357,15306,3665,3963,9232,4584.59,1871,12949,21513,12550,4987,19420,10094.08,541,23156.86,7086,16122,20491.06,13201,11810,3497.07,6019,3007,1500,1843,1588.98,0,1025,4217.79,38228,4665.5,2198.21,12585,3971,1383,3327.33,4515,6031.29,3392,4195,5070.99,2890.38,5982.5,3750.79,5957,4514.5,3751,3628,0,4533.17,7772,1479.7,3265,2758,4734,5033.25,8924.37,4625.96,4747,4144,2848.03,3139,7243,2618,8390.62,5912,3817,4336,4741,7706.49,29121.34,12890,7380,4525,2355.04,16968,1705.58,3301,11231,4991,7440.14,2063,30348,6130.46,8021,9749,7613.94,0,2755,8098,4483.5,6653,15085,7393.57,4633.04,135585.27,51873.74,93291.74,91302.27,112296.94,118278.17,156794.63,148739.55,98248.23,1006410.54
Total expenditure on Direct Payments,2013 - 2014,Adults aged 18 to 64,Income: total,782.28,52.68,159,749.44,0,0,36,836,644,905,859,221.75,188,617,1689,1346,0,8.28,81.74,0,283,1537.48,1048,267.84,128,377.09,1977,378,189,362,1954,1016,0,0,90,0,252.66,729,1199,1341,362.91,1143,579,146.22,387,3383.47,0,34,0,2.78,397.49,569,329.12,15.13,0,320.92,0,444,1344,197,221,244,254.88,372,1485,967,356,0,5170,1475.56,0,2905.81,1459,648,1310.35,0,134,0,355,355,304,215,5,0,76,0,881,67.51,23.98,1141,283,0,0,0,78.12,376,102,327.66,459.17,193.77,16.38,46,0,189,0,0,445,1123,0,888,228,197,250.55,2161.4,381.67,84,55,176.89,200,396,257,0,406,735,872,429,1164.52,765.39,2177,626,491,95.45,512,166.8,366,669.35,540,155.23,169,133,67.44,221,893,1800.67,0,1940,292,313.66,172,144,19.09,926.69,13953.33,4650.87,9738.44,4708.54,13818.37,4488.84,7871.5,11073.62,8258.79,78562.29
Total expenditure on Direct Payments,2013 - 2014,Adults aged 18 to 64,Net total expenditure,5434.72,2480.59,2597,5628.72,5404,2687,3827,2986,3426,4294,3133,7344.56,3415,3116,2821,3675,20669,4838.04,4657.33,7469,7723,2922.83,7709,4260.86,2274,3024.25,5751,2643,5463,4271,3112,5820,5089,3245,4457,1457,4611.67,6951,3311,8541,5754.04,5403,4689,2576.03,3119,18552.31,4163,1500,6844.22,7267.94,8267.27,15514,4845.23,5909.59,4115,3943.93,4097,3913,13962,3468,3742,8988,4329.7,1499,11464,20546,12194,4987,14250,8618.52,541,20251.05,5627,15474,19180.71,13201,11676,3497.07,5664,2652,1196,1628,1583.98,0,949,4217.79,37347,4597.99,2174.23,11444,3688,1383,3327.33,4515,5953.17,3016,4093,4743.33,2431.21,5788.72,3734.42,5911,4514.5,3562,3628,0,4088.17,6649,1479.7,2377,2530,4537,4782.7,6762.97,4244.29,4663,4089,2671.14,2939,6847,2361,8390.62,5506,3082,3464,4312,6541.97,28355.95,10713,6754,4034,2259.59,16456,1538.78,2935,10561.65,4451,7284.91,1894,30215,6063.02,7800,8856,5813.27,0,815,7806,4169.84,6481,14941,7374.49,3706.35,121631.94,47222.87,83553.31,86593.73,98478.57,113789.33,148923.13,137665.93,89989.44,927848.25
Other gross and net expenditure,2014 - 2015,Adults aged 18 to 64,Gross total cost: total expenditure,13072.23,3363,12272,17592.25,15471,11540,13844,2756,5860,1928,849,36028,4174,754,13450,8408,12791,16903,9289,13850,14782,17128,2605,4699.2,14691,336.35,19030,16470,15549,12866,42329,14851,15041,17294,10740.58,18875,11065,15592,14280,60082.78,19977,8413,19181.66,9316.42,9131,65959.62,7650,13170,7810,7606.5,9400,6493.04,4356,13230.32,11195,4576.99,9920,5922,27667,10500,4205,11985,10552,963,21677,16555,28271,6714,29340,20593.9,882,32477.66,14226,67610,51362.59,34677,37847.09,8001,15988,9669,3923,5958.09,8043,362,2534,10959,15235,4826.16,4486,29552,2134.87,6204,15917,15691.94,20501.28,10953,8062,10960,7457,20410.92,12396.11,11556,10636.17,13459,2081,940,5321,21013.02,5337,8114,15350,13099.85,18296,6776,14229.3,7423,4017,9327.52,9979.69,7134,8847,10922.29,8353,7185,10923,10695,1759.84,28612.1,21109,14176,5276,5965.4,4576,7068,4706,13418,18363,17419,2146,45845,9118,18467,28458,23991,0,7863,14284,8119.62,7083,4302,16079,5069,429852.79,125677.25,165186.55,130965.35,170736.56,243175.7,246688.02,347447.09,178698.01,2038427.33
Other gross and net expenditure,2014 - 2015,Adults aged 18 to 64,Income: total,0,749,982,3870.47,4543,1685,5313,116,1293,193,107,6732,35,0,327,2308,1374,1760,1737.13,3495,2377,3116,730,295.44,291,0.15,4574,2841,1865,2413,1626,1861,182,874,2806.03,5360,26,3269,1114,5652,351,2056,13.46,810.04,2020,3932.97,1475,2351,1175,166.73,0,9185.42,176,0,30,250.97,135,457,3213,1765,541,449,701,17,4509,3363,2128,14,1746,257,208,9835.69,3028,475,1976.81,152,4426.7,112,836,1189,50,561.8,1104,0,206,922.46,243,123.2,45,7405,1460.85,0,5,5844.37,235.34,1448,225,1230,3871,1237.28,657.05,165,709.23,1092,488,0,366,4356.32,104,146,1157,3306.65,3374,1245,955.3,533,85,1833.13,745.96,1156,2782,0,617,1262,163,2470,429.86,6108.49,6628,1244,1200,737.72,221,245,429,4748,2299,820,373,2066,206,10408,5195,8403,0,1017,0,1216.05,0,1161,9,360,41399.23,25618.47,25225.73,16920.39,25088.69,16272.56,28401.61,43859.63,32143.77,254930.07
Other gross and net expenditure,2014 - 2015,Adults aged 18 to 64,Net total expenditure,13072.23,2614,11290,13721.78,10928,9855,8531,2640,4567,1735,742,29296,4139,754,13123,6100,11417,15143,7551.87,10355,12405,14012,1875,4403.76,14400,336.2,14456,13629,13684,10453,40703,12990,14859,16420,7934.55,13515,11039,12323,13166,54430.78,19626,6357,19168.2,8506.38,7111,62026.65,6175,10819,6635,7439.77,9400,-2692.38,4180,13230.32,11165,4326.02,9785,5465,24454,8735,3664,11536,9851,946,17168,13192,26143,6700,27594,20336.9,674,22641.97,11198,67135,49385.79,34525,33420.38,7889,15152,8480,3873,5396.28,6939,362,2328,10036.55,14992,4702.96,4441,22147,674.02,6204,15912,9847.57,20265.94,9505,7837,9730,3586,19173.65,11739.06,11391,9926.94,12367,1593,940,4955,16656.69,5233,7968,14193,9793.2,14922,5531,13274,6890,3932,7494.39,9233.73,5978,6065,10922.29,7736,5923,10760,8225,1329.98,22503.6,14481,12932,4076,5227.68,4355,6823,4277,8670,16064,16599,1773,43779,8912,8059,23263,15588,0,6846,14284,6903.56,7083,3141,16070,4709,388453.56,100058.78,139960.83,114044.96,145647.87,226903.15,218286.41,303587.46,146554.24,1783497.26
Other gross and net expenditure,2013 - 2014,Adults aged 18 to 64,Gross total cost: total expenditure,4830.1,5909.13,9220,3278.11,15195,10811,12775,2175,4135,1649,1978,28779.76,613,3710,7184,10678,26390,18571.68,5907.43,14429,14182,22184.02,3086,5782.29,12938,2130.37,16615,14792,16433,13837,40532,16042,12927,1857,10704,16885,14764.37,7150,2500,41220,21199.3,12879,20149,6998.86,7279,86385.56,1038,13038,15597.58,1278.16,5424.91,8694,3439.89,2498.25,14367,2717.04,2910,5667,32188,5860,3285,14120,7648.98,1315,22891,9370,29630,8440,22505,14083.88,254,39281.33,1468,49644,33643.45,36983,37891,6192.6,18514,12439.8,2156,7641,8010,312,2486,7595.09,14957,4458.11,2678.81,24125,3674,5794,13769.24,22600,14203.19,16275,3039,17608.69,7878.63,12476.32,16177.06,13919,9185.5,16966,12808,1456,5245.68,16983,7863,24050,13879,15746,8057.14,6680.16,11401.52,7308,4265,9764.15,8389,3459,3496,9438.42,9503,7297,8217,10421,1267.56,20132.28,11966,15025,6573,3007.3,4209,1977.95,8315,13953.94,13564,15204.52,2666,43276,6653.51,30263,9009,12919.1,7,10952,14879,8673.97,8349,5063,14177.81,367.98,385523.93,96518,178579.79,110135.07,147923.21,196827.2,221452.13,356055.45,157136.69,1850151.48
Other gross and net expenditure,2013 - 2014,Adults aged 18 to 64,Income: total,802.38,1124.57,337,424.01,3353,1420,2847.48,126,514,83,449,4269.47,142,184,264,2953,5413,832.56,2547.97,3022,1311,2736.12,634,459.59,548,196.98,4242,3676,1772,2537,3877,5474,1337,7,3744,5712,378.37,2384,1331,5121,1247.19,3023,3430,618.17,2795,8177.26,205,1976,2070.53,230.63,93.97,12602,300.67,79.08,6886,66,44,310,2297,414,585,1548,807.88,294,5625,1118,2262,516,2601,1366.83,4,5275.85,493,4903,2065.42,1050,665,205.16,1367,1329,90,626,722,0,60,519,178,-12.5,81.73,4156,617,85,1.31,3122,1069.45,1571,537,3295.93,3455.71,458.36,4084.23,84,369.36,2261,1617,54.03,201.14,3688,174,2894,1243,2615,1253.52,2001.94,767.67,310,886,540.18,985,1051,69,1635.18,435,960,2488,794,442.27,5809.72,581,911,798,796.23,385,559,944,3220.31,2304,427.22,287,1505,647.61,12272,492,623.49,0,570,962.38,1148.69,44,1560,927.13,0,58249.53,15089.53,29020.22,26327.59,19261.69,12945.12,22160.91,46970.7,21819.14,251844.41
Other gross and net expenditure,2013 - 2014,Adults aged 18 to 64,Net total expenditure,4027.73,4784.56,8883,2854.1,11842,9391,9927.52,2049,3621,1566,1529,24510.29,471,3526,6920,7725,20977,17739.13,3359.46,11407,12871,19447.9,2452,5322.7,12390,1933.39,12373,11116,14661,11300,36655,10568,11590,1850,6960,11173,14386,4766,1169,36099,19952.11,9856,16719,6380.69,4484,78208.3,833,11062,13527.06,1047.53,5330.94,-3908,3139.22,2419.18,7481,2651.05,2866,5357,29891,5446,2700,12572,6841.1,1021,17266,8252,27368,7924,19904,12717.05,250,34005.47,975,44741,31578.03,35933,37226,5987.44,17147,11110.8,2066,7015,7288,312,2426,7076.09,14779,4470.61,2597.08,19969,3057,5709,13767.93,19478,13133.74,14704,2502,14312.77,4422.92,12017.96,12092.83,13835,8816.13,14705,11191,1401.97,5044.54,13295,7689,21156,12636,13131,6803.63,4678.22,10633.85,6998,3379,9223.97,7404,2408,3427,7803.24,9068,6337,5729,9627,825.29,14322.56,11385,14114,5775,2211.08,3824,1418.95,7371,10733.63,11260,14777.3,2379,41771,6005.9,17991,8517,12295.61,7,10382,13916.62,7525.28,8305,3503,13250.68,367.98,327274.4,81428.47,149559.58,83807.48,128661.53,183882.09,199291.22,309084.75,135317.55,1598307.07
Total expenditure,2014 - 2015,Adults aged 18 to 64,Gross total cost: total expenditure,70272.49,45994,36625,49195.99,38978.28,35575,56669,16389,29410,25763,26823,74358,16987,30152,45401.05,46649,81678,84122,32341,59843,145929,50849,46074,40477.49,26383.5,16287.76,89055.7,27304,41450,30955,75959,33903.6,30645,33615.5,42880.05,32645,31242,51710,30263,99694.67,51348,27109,61842.94,24565.31,37374,193011.69,24046.69,28460,58573,54350.49,70534.7,162098.07,43170,59364.63,45098,32972.43,36258,41911,127151,30913,34496,84522,44855,27616,89392,78420,102079,35679,98996,75341.8,5087,135521.1,56984,192969,160330.92,112411,116709.07,24163,74264.8,29041,20221,23163.06,29854,25129,21034,28669.34,262192,22770.58,21748,100178,33601.71,29997,47557,48753.53,57602.74,43102,34612,46980,27554,61515.17,51878.37,59212.09,61466.21,58913,22322,3127,23441,57744.68,25192,42610,44600,57230.93,58673,49662,57231.57,36350.94,26930,50856.54,37254.38,25354.28,28534,50561.98,43873,35638,41119,44867,26564.03,228479.22,120635,58422,24203.5,18346.84,192807,29282,39250,104037,52794,65526,32379,227900,41986.22,101639,99117,99576,90,27086.89,74511,37609.59,48841,112576,43862,22237.06,1165916.42,452767.27,822546.51,840959.83,677499.9,1012216.29,1427521.67,1414762.41,866022.88,8680213.18
Total expenditure,2014 - 2015,Adults aged 18 to 64,Income: total,6359.75,7888,2929,10651.7,10876.75,12170,15324,4345,8589,6253,3223,20875,1679,7036,7432.1,8161,13285,11505,7604.39,12113,12919,11746,11357,7763.6,1129,2450.33,18369.53,5816.3,5932,5180,6279,9705.19,2924,5736.5,7819.63,7852,2089.34,9692,2751.1,10753.25,10333,5493,17369.39,2876.73,7942,24955.1,6804.12,5867,9302,8031,5476.68,33133.78,6047,3498.27,1330,4130.52,2697,2793,13410,5580,6505,10131.85,8956.62,4212,28405,10001,13847,3758,17918,20689.8,1710,30637.44,14228,13059,12104.83,10780,17460.88,1503,10611.4,4161,3313,2500.06,4408,2279,1885,3080.45,11885,2122.04,1054,25386,5593.5,2948,1838,8809.06,12611.05,7070,8983,7358,8067,5371.16,5311.93,2720,8155.77,7654,6960,47,3936,10573.52,3035,6138,5179,8234.61,15506.27,10267,8106.32,3682,1310,6788.23,5439.44,4866.79,4660,5610.74,3228,5433,5198,5509,4706.12,25969.12,30972,7547,3290,2415.87,14015,4184.56,4930,30581,6437,3018,2012,16821,5899.85,21102.56,19993,30042,0,5261.95,9608,5738.87,8342,14417,7426,3102.59,182047.11,104803.45,138687.25,107901.72,141194.24,94954.25,187533.57,211818.89,143316.84,1312257.32
