,,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NW,NE,YH,WM,EM,E,SE,L,SW,Eng
Long term,Age 65 and over,Learning disability support,Residential,Denominator,Own provision,381.14,490,0,0,0,116.86,0,0,0,0,0,0,0,0,785.29,188,0,0,0,0,102,0,156.29,365,0,0,340,113,0,0,104,0,0,0,0,0,0,14,0,0,0,0,52,0,25.86,102.3,0,0,0,0,0,0,60,0,0,556.56,0,205,612.86,94.14,0,205,104,260.71,0,0,725,236.43,156,30.14,0,104.29,556.14,0,0,0,0,0,0,0,0,0,0,0,177,0,520,0,0,104,0,374,35,0,0,0,33.29,0,0,0,0,0,0,0,52,0,141,0,0,0,25,0,0,0,0,142,0,273,229.57,26,0,0,0,284.71,0,0,312,1240.15,947,0,247.43,0,12.6,0,0,231.57,0,0,0,0,0,0,0,624,0,0,0,0,0,0,0,0,679.3,606.86,2049.58,2098.27,1808,513,2920.32,1180.57,871.43,12727.32
Long term,Age 65 and over,Learning disability support,Residential,Unit costs,Own provision,726.46,2316.33,.,.,.,2498.72,.,.,.,.,.,.,.,.,822.63,638.3,.,.,.,.,882.35,.,2840.87,1924.86,.,.,697.06,601.77,.,.,1096.15,.,.,.,.,.,.,1142.86,.,.,.,.,2292.36,.,696.06,398.38,.,.,.,.,.,.,1506.78,.,.,0,.,995.12,1187.87,2411.3,.,1663.41,348.01,1089.33,.,.,1070.34,507.55,820.51,1658.93,.,1638.66,1035.71,.,.,.,.,.,.,.,.,.,.,.,1468.93,.,0,.,.,1134.62,.,641.71,714.29,.,.,.,1168.42,.,.,.,.,.,.,.,769.23,.,1982.4,.,.,.,2040,.,.,.,.,1239.44,.,1742.53,1054.54,0,.,.,.,2602.65,.,.,1354.41,1077.32,838.44,.,1232.68,.,952.38,.,.,4262.21,.,.,.,.,.,.,.,1727.56,.,.,.,.,.,.,.,.,860.94,2351.45,1125.88,910.56,1007.13,746.59,1305.2,1731.55,1587.05,1231.42
Long term,Age 65 and over,Learning disability support,Residential,Numerator,Provision by others,487.04,3136,1307,320.4,1031,4283,743,500,694,240,594,2209.49,536,352,706,226,3672,1469,498.83,1887,1283,1077,1078,811.82,753,416.1,762,362,201,463,951,368,444,315,335,98,483.07,104,553,766.1,1017,85,823.61,112.33,159,1838.75,195,306,435.42,498,1980,8442.82,255.39,1659.29,965,600.47,894,1132,3329,1550,688,2433,2844.41,521,3929,3187,2540,772,2307,2198.9,38,2766.76,1239,9533,5592.97,2357,2639.04,769,1778,192.27,336,1107.13,1045.1,0,353,890.6,11313,886.12,391,2742,472.24,922,83,323.88,1091.34,865.03,958,805,1277,1343,1163.41,2344.84,1424.26,2389,806,23,181,1843.77,1385,1442,982,6047.97,937.64,1285,1420.03,1598,1156,1438.23,1899.55,0,905,1393.88,2416,2808,1774,2047,491.43,17963.76,5218,225,357,91.8,3873,915,0,4855,2085,3807,1641,8831,1602,2321.07,1668,1761,0,1165,3792,1646.62,4657,3699,1411,712.2,11038.32,15593.89,15353.74,27294.36,18977.66,35343.38,53893.3,47773.82,28954.69,254223.15
Long term,Age 65 and over,Learning disability support,Residential,Denominator,Provision by others,895.29,3896,1375.36,661,1073.71,4294.57,1738,572,1170,373,975.84,3957.51,818,908,1292.86,354,2633,1729,763,1694.43,3078,1855,4272.57,1845,1388,834.29,2774,566,386,549,1426,370,446,486,624,132,290,208.71,682.43,1885,1838.14,156,1876,158,518.43,3514,229,662,634,734.54,1794.96,9459.29,397,2198.18,1343,1120.41,691,1300,3041.14,1915.86,1080,2787,2000,612.71,4001,3537,3531,1219.26,4172,3510.86,52,3437.29,1738.29,8797,7086,1650,4100,622,1674.29,223.71,260.71,1025,988,0,506,678,8026.86,1143.57,1195,3049,859,781,122,483,1232,712,651,872.86,1275,1579.64,1266,972,1508,2123,1040,52,279,2205.43,1145,1418,563,3907,2610,1478,1300,1753,1153,1483.86,2037.14,456.29,926,1339,2450,1922.29,1854,1407,701.71,16171.86,4058.8,167,365,104,4170.3,1333,0,4868.46,2169.71,1727,1800.71,10280,1199.57,3376.57,2901,1777.57,0,1063,4158,2274.86,4053.99,6559.1,2054.43,1553.77,18700.54,20904.99,25987.15,29740.55,25198.7,35781.43,51959.13,44997.21,33936,287205.69
Long term,Age 65 and over,Learning disability support,Residential,Unit costs,Provision by others,544,804.93,950.3,484.72,960.22,997.31,427.5,874.13,593.16,643.43,608.71,558.3,655.26,387.67,546.08,638.42,1394.61,849.62,653.77,1113.65,416.83,580.59,252.31,440.01,542.51,498.75,274.69,639.58,520.73,843.35,666.9,994.59,995.52,648.15,536.86,742.42,1665.76,498.3,810.34,406.42,553.28,544.87,439.02,710.96,306.7,523.26,851.53,462.24,686.78,677.98,1103.09,892.54,643.29,754.85,718.54,535.93,1293.78,870.77,1094.66,809.04,637.04,872.98,1422.2,850.32,982,901.05,719.34,633.17,552.97,626.31,730.77,804.92,712.77,1083.66,789.3,1428.48,643.67,1236.33,1061.94,859.46,1288.79,1080.13,1057.79,.,697.63,1313.57,1409.39,774.87,327.2,899.31,549.76,1180.54,680.33,670.56,885.83,1214.93,1471.59,922.26,1001.57,850.19,918.97,2412.38,944.47,1125.29,775,442.31,648.75,836.01,1209.61,1016.93,1744.23,1547.98,359.25,869.42,1092.33,911.58,1002.6,969.25,932.46,0,977.32,1040.99,986.12,1460.76,956.85,1454.87,700.33,1110.8,1285.6,1347.31,978.08,882.72,928.71,686.42,.,997.24,960.96,2204.4,911.31,859.05,1335.48,687.4,574.97,990.68,.,1095.95,911.98,723.83,1148.74,563.95,686.81,458.37,590.27,745.94,590.82,917.75,753.12,987.76,1037.22,1061.71,853.21,885.16
Long term,Age 65 and over,Mental health support,Residential and nursing care,Numerator,All,5777.78,5410,3361,3924.8,3741,1433,3250,891,2898,1961,1622,1413.38,1043,1920,2423,74,3806,1574,326.18,1546,3916,2248,560,2974.85,430,2346.7,2838,2728,3941,3209,3428,2496,1584,4052,852,1165,2948.46,8517,1486,2905.1,5584,1402,5627.74,1162.55,6908,8799.11,1013,1903,4042.18,5645,4431,7445.05,2883.37,2118.62,1204,1536.31,2636,1875,7133,5194,1269,4825,1640.11,1388,4614,2122,2048,4720,15195,6628,122,2951.31,3098,11890,9319.05,2787,6537.98,1721,3022,1493,327,260.09,623.74,183,885,357.35,3721,523.96,1379,3861,1035.54,1705,1737,2961.57,3516.38,2229.58,1099,4355,733,3051.48,2855.75,1752.48,200.91,4033,1783,211,1113.7,1545.97,659,362,1606,339.43,2467.55,923,1270.73,56,409,818.95,1438.88,942,251,1733.08,672,398,608,225,1067.21,5948.85,6690,419,923,473.2,3047,704,0,14231,1095,11050,496,2565,2520,1008.04,1076,7689,269,7204,0,3325.44,3396,7700,1466,2134.88,84447.92,30948.18,29710.73,45578.45,41498.31,43430.54,47806.23,46621.44,48629.55,418671.35
Long term,Age 65 and over,Mental health support,Residential and nursing care,Denominator,All,10673.72,11160,6966.14,7739,6197.5,2419.86,7173,1823,5833,5916,3785.72,2746.56,2508,4900,4868.57,156,14293,3121,2094,7189.29,8575,5725,2695.72,6411,930,5906.15,8720,5044,9714,8144,6936,6149,3699.27,9249,1645,12345,5472,19304.98,3041.64,6699,12569.71,3338,13173,2704.4,13385.71,18877.6,710,4971,11070.3,12010.7,8745.61,13453.43,5631,4446.4,1430,2739.58,5398,3431,16019,9561,1856,8353,3969,2676,11108,1811,4785,9770.24,29774,11785,167,6412.71,6103.71,28231,16500,7848,10627,3640,4128.85,1985.28,193.28,449,860,178.54,1766,386,13480.86,762.85,2033,7787,2317.1,3543,3113,6991.17,1427,4034,1374.71,6509.14,1440,6583.43,4242,2189,603.14,5940,5683,341,1804,3008.96,1118,487,2394,5459,2985,1392,2053,118,797,1286.17,2142,2730.14,473,3388,984,469,1237,253,2397.14,9881.22,12063,834,1569.71,1958,10140.4,1457,0,25680.83,1739,16280,752.43,4735,3510.86,1998.97,966,11834,323,9149,0,6568.43,5765.17,16098,3092.15,4861.1,195883.03,64267.78,80628.73,87709.02,81716.66,92034.81,89399.39,81935.87,82049.97,855625.25
Long term,Age 65 and over,Mental health support,Residential and nursing care,Unit costs,All,541.31,484.77,482.48,507.15,603.63,592.18,453.09,488.75,496.83,331.47,428.45,514.6,415.87,391.84,497.68,474.36,266.28,504.33,155.77,215.04,456.68,392.66,207.74,464.02,462.37,397.33,325.46,540.84,405.7,394.03,494.23,405.92,428.19,438.1,517.93,94.37,538.83,441.18,488.55,433.66,444.24,420.01,427.22,429.88,516.07,466.11,1426.76,382.82,365.14,470,506.65,553.39,512.05,476.48,841.96,560.78,488.33,546.49,445.28,543.25,683.73,577.64,413.23,518.68,415.38,1171.73,428,483.1,510.34,562.41,730.54,460.23,507.56,421.17,564.79,355.12,615.22,472.8,731.92,752.03,1691.85,579.27,725.28,1025,501.13,925.77,276.02,686.85,678.31,495.83,446.91,481.23,557.98,423.62,2464.18,552.7,799.44,669.06,509.03,463.51,673.21,800.59,333.11,678.96,313.74,618.77,617.35,513.79,589.45,743.33,670.84,62.18,826.65,663.07,618.96,474.58,513.17,636.73,671.75,345.04,530.66,511.53,682.93,848.61,491.51,889.33,445.2,602.04,554.59,502.4,588.01,241.67,300.48,483.18,.,554.15,629.67,678.75,659.2,541.71,717.77,504.28,1113.87,649.74,832.82,787.41,.,506.28,589.05,478.32,474.1,439.18,431.11,481.55,368.49,519.66,507.83,471.89,534.75,569,592.68,489.32
Long term,Age 65 and over,Mental health support,Residential and nursing care,Numerator,LA supported only,5084.29,4846,3329,3526.7,2843,1013,2804,719,2332,1961,1513,1413.38,1043,1593,2329,74,3641,1444,243.18,1076,3667,2248,318,2779.65,430,2335.28,2685,2703,3873,3209,3428,2458,1584,3871,810,1165,2918.66,7834,1486,2905.1,5584,1402,5627.74,1158.55,6724,8038.38,1013,1903,4042.18,5333.21,4429,6169.44,2883.37,2059.37,1204,1536.31,2636,1875,7103,5194,1171,4261,1605.9,1289,4614,2098,1892,4713,14160,6628,122,2759.88,2862,6826,8429.35,2303,5989.69,1721,3022,1493,297,260.09,623.74,153,885,318.73,3721,523.96,1031,3043,851.63,1705,1536,2961.57,3516.38,2229.58,1069.76,4355,703,2180.59,2696.36,1752.48,200.91,3605,1175,211,913.7,1466.34,659,356,1474,339.43,1732.64,891,1200.03,52,379,818.95,1429.06,731,249,1007.14,661,306,582,225,1052.06,5905.81,6453,418,923,409.16,2997,704,0,13565,1095,11050,496,2519,2386,944.57,1076,7568,269,6567,0,3247.7,3388,7689,1407,2134.88,81452.12,27343.08,27566.12,43416.39,39848.88,35377.63,46032.44,42128.91,47587.31,390752.88
Long term,Age 65 and over,Mental health support,Residential and nursing care,Denominator,LA supported only,10673.72,11160,6966.14,7739,6197.5,2419.86,7173,1823,5833,5916,3785.72,2746.56,2508,4900,4868.57,156,14293,3121,2094,7189.29,8575,5725,2695.72,6411,930,5906.15,8720,5044,9714,8144,6936,6149,3699.27,9249,1645,12345,5472,19304.98,3041.64,6699,12569.71,3338,13173,2704.4,13385.71,18877.6,710,4971,11070.3,12010.7,8745.61,13453.43,5631,4446.4,1430,2739.58,5398,3431,16019,9561,1856,8353,3969,2676,11108,1811,4785,9770.24,29774,11785,167,6412.71,6103.71,28231,16500,7848,10627,3640,4128.85,1985.28,193.28,449,860,178.54,1766,386,13480.86,762.85,2033,7787,2317.1,3543,3113,6991.17,1427,4034,1374.71,6509.14,1440,6583.43,4242,2189,603.14,5940,5683,341,1804,3008.96,1118,487,2394,5459,2985,1392,2053,118,797,1286.17,2142,2730.14,473,3388,984,469,1237,253,2397.14,9881.22,12063,834,1569.71,1958,10140.4,1457,0,25680.83,1739,16280,752.43,4735,3510.86,1998.97,966,11834,323,9149,0,6568.43,5765.17,16098,3092.15,4861.1,195883.03,64267.78,80628.73,87709.02,81716.66,92034.81,89399.39,81935.87,82049.97,855625.25
Long term,Age 65 and over,Mental health support,Residential and nursing care,Unit costs,LA supported only,476.34,434.23,477.88,455.7,458.73,418.62,390.91,394.4,399.79,331.47,399.66,514.6,415.87,325.1,478.37,474.36,254.74,462.67,116.13,149.67,427.64,392.66,117.96,433.58,462.37,395.4,307.91,535.88,398.7,394.03,494.23,399.74,428.19,418.53,492.4,94.37,533.38,405.8,488.55,433.66,444.24,420.01,427.22,428.4,502.33,425.82,1426.76,382.82,365.14,444.04,506.43,458.58,512.05,463.15,841.96,560.78,488.33,546.49,443.41,543.25,630.93,510.12,404.61,481.69,415.38,1158.48,395.4,482.38,475.58,562.41,730.54,430.38,468.9,241.79,510.87,293.45,563.63,472.8,731.92,752.03,1536.63,579.27,725.28,856.97,501.13,825.72,276.02,686.85,507.13,390.78,367.54,481.23,493.41,423.62,2464.18,552.7,778.17,669.06,488.19,331.22,635.63,800.59,333.11,606.9,206.76,618.77,506.49,487.32,589.45,731.01,615.71,62.18,580.45,640.09,584.53,440.68,475.53,636.73,667.16,267.75,526.43,297.27,671.75,652.45,470.49,889.33,438.88,597.68,534.94,501.2,588.01,208.97,295.55,483.18,.,528.22,629.67,678.75,659.2,532,679.61,472.53,1113.87,639.51,832.82,717.78,.,494.44,587.67,477.64,455.02,439.18,415.82,425.46,341.89,495,487.65,384.39,514.91,514.17,579.98,456.69
Long term,Age 65 and over,Mental health support,Nursing,Numerator,All,1617.16,980,737,1525.2,1840,454,1232,430,872,488,481,362.95,239,470,731,54,1265,604,168.46,824,1473,545,178,104.95,76,481,1053,1000,1188,534,1513,455,395,931,296,362,1192.49,2040,458,940.6,1978,377,2264.58,540.84,3093,2032.86,135,138,2367.32,3321,937,2469.04,640.12,671.15,321,394.74,880,1024,3128,2335,946,2103,629.94,623,1481,189,731,1791,2740,971,0,765.02,559,3562,1225.09,1535,2222.48,385,1688,342,251,21.56,205.49,183,416,260.56,283,41.21,141,2146,569.27,314,426,884.96,1401.99,590.98,466,1651,180,1680.14,785.44,0,0,1921,668,12,196,227.93,211,124,428,26.41,810.72,107,288.63,7,63,339.16,261.95,529,65,511.09,111,118,247,0,111.46,2109.73,2119,91,361,114.55,988,150,0,5329,234,4071,70,16,451,418.76,215,3847,0,5160,0,886.71,1323,1261,194,141.97,28169.84,9641.15,9027.41,17101.99,9227.02,11315.06,16410.79,14901.39,18155,133949.65
Long term,Age 65 and over,Mental health support,Nursing,Denominator,All,3177.14,2139,1735.07,2927,2131.21,565,2505,848,1607,1490,1119.92,682.25,696,1159,1384.14,104,6003,1189,351,2379.29,3294,1312,474.43,160,156,1212.29,2703,1714,2928,1518,2685,1038,980.7,1762,533,3887,2457,4292.29,830.14,2081,5318.14,1011,5038,694.7,6125.57,4240,110,341,5809.3,6527.89,2093.21,4273.57,1108,1255.96,389,684.9,2027,1673,6908.57,3232,1374,2934,1177,1095.71,4109,407,1767,3634.57,5508,1917.43,0,1626,1164.14,6645,2028,4365,3464,633,1993.28,383.14,141.14,40,291,178.54,763,238,1580.29,52.14,108,3478,1387.3,475,775,1895.17,186,1061,591.14,2144.86,249,3257.86,1234,0,0,2582,1753,0,463,354.63,344,129,553,2337,984,156,501,23,156,527.67,633.57,1280,108,1014,165,122.29,521,0,301.43,3928.68,3496.9,180,467,507,3330.1,246,0,8147.91,226.86,5347,126.57,33,497.43,675.14,99,5368.86,0,5634,0,1665,2495.98,2400.6,386.29,292.17,63384.87,18445.45,23595.15,30225.92,20133.14,20625.73,28601.41,25326.19,25644.61,255982.47
Long term,Age 65 and over,Mental health support,Nursing,Unit costs,All,509,458.16,424.77,521.08,863.36,803.54,491.82,507.08,542.63,327.52,429.49,531.99,343.39,405.52,528.12,519.23,210.73,507.99,479.94,346.32,447.18,415.4,375.19,655.93,487.18,396.77,389.57,583.43,405.74,351.78,563.5,438.34,402.77,528.38,555.35,93.13,485.34,475.27,551.71,451.99,371.93,372.9,449.5,778.52,504.93,479.45,1227.27,404.69,407.5,508.74,447.64,577.75,577.73,534.38,825.19,576.35,434.14,612.07,452.77,722.46,688.5,716.77,535.21,568.58,360.43,464.37,413.7,492.77,497.46,506.41,.,470.49,480.18,536.04,604.09,351.66,641.59,608.21,846.85,892.62,1778.38,538.92,706.16,1025,545.22,1094.77,179.08,790.43,1305.56,617.02,410.35,661.05,549.68,466.95,7537.6,557,788.3,769.75,722.89,515.72,636.5,.,.,744,381.06,.,423.33,642.72,613.37,961.24,773.96,11.3,823.9,685.9,576.11,304.35,403.85,642.74,413.45,413.28,601.85,504.03,672.73,964.92,474.09,.,369.76,537.01,605.97,505.56,773.02,225.93,296.69,609.76,.,654.03,1031.49,761.36,553.05,484.85,906.66,620.26,2171.72,716.54,.,915.87,.,532.56,530.05,525.29,502.21,485.92,444.43,522.68,382.6,565.81,458.3,548.59,573.78,588.38,707.95,523.28
Long term,Age 65 and over,Mental health support,Residential,Numerator,All,4160.61,4430,2624,2399.6,1901,979,2018,461,2026,1473,1141,1050.43,804,1450,1692,20,2541,970,157.72,722,2443,1703,382,2869.91,354,1865.7,1785,1728,2753,2675,1915,2041,1189,3121,556,803,1755.97,6477,1028,1964.5,3606,1025,3363.16,621.72,3815,6766.25,878,1765,1674.87,2324,3494,4976.01,2243.24,1447.47,883,1141.57,1756,851,4005,2859,323,2722,1010.17,765,3133,1933,1317,2929,12455,5657,122,2186.29,2539,8328,8093.96,1252,4315.5,1336,1334,1151,76,238.54,418.25,0,469,96.79,3438,482.75,1238,1715,466.27,1391,1311,2076.61,2114.38,1638.6,633,2704,553,1371.34,2070.32,1752.48,200.91,2112,1115,199,917.7,1318.04,448,238,1178,313.02,1656.83,816,982.1,49,346,479.79,1176.93,413,186,1221.99,561,280,361,225,955.75,3839.12,4571,328,562,358.65,2059,554,0,8902,861,6979,426,2549,2069,589.27,861,3842,269,2044,0,2438.72,2073,6439,1272,1992.91,56278.08,21307.03,20683.32,28476.46,32271.29,32115.48,31395.44,31708.04,30474.55,284709.7
Long term,Age 65 and over,Mental health support,Residential,Denominator,All,7496.58,9021,5231.07,4812,4066.29,1854.86,4668,975,4226,4426,2665.8,2064.31,1812,3741,3484.43,52,8290,1932,1743,4810,5281,4413,2221.29,6251,774,4693.86,6017,3330,6786,6626,4251,5111,2718.57,7487,1112,8458,3015,15012.69,2211.5,4618,7251.57,2327,8135,2009.7,7260.14,14637.6,600,4630,5261,5482.81,6652.4,9179.86,4523,3190.44,1041,2054.68,3371,1758,9110.43,6329,482,5419,2792,1580.29,6999,1404,3018,6135.67,24266,9867.57,167,4786.71,4939.57,21586,14472,3483,7163,3007,2135.57,1602.14,52.14,409,569,0,1003,148,11900.57,710.71,1925,4309,929.8,3068,2338,5096,1241,2973,783.57,4364.29,1191,3325.57,3008,2189,603.14,3358,3930,341,1341,2654.32,774,358,1841,3122,2001,1236,1552,95,641,758.5,1508.43,1450.14,365,2374,819,346.71,716,253,2095.71,5952.53,8566.1,654,1102.71,1451,6810.3,1211,0,17532.92,1512.14,10933,625.86,4702,3013.43,1323.83,867,6465.14,323,3515,0,4903.43,3269.19,13697.4,2705.86,4568.93,132498.16,45822.33,57033.58,57483.1,61583.52,71409.08,60797.99,56609.68,56405.35,599642.79
Long term,Age 65 and over,Mental health support,Residential,Unit costs,All,555,491.08,501.62,498.67,467.5,527.8,432.31,472.82,479.41,332.81,428.01,508.85,443.71,387.6,485.59,384.62,306.51,502.07,90.49,150.1,462.6,385.91,171.97,459.11,457.36,397.48,296.66,518.92,405.69,403.71,450.48,399.33,437.36,416.86,500,94.94,582.41,431.44,464.84,425.4,497.27,440.48,413.42,309.36,525.47,462.25,1463.33,381.21,318.36,423.87,525.22,542.06,495.96,453.69,848.22,555.6,520.91,484.07,439.61,451.73,670.12,502.31,361.81,484.09,447.64,1376.78,436.38,477.37,513.27,573.29,730.54,456.74,514.01,385.81,559.28,359.46,602.47,444.3,624.66,718.41,1457.61,583.22,735.06,.,467.6,653.98,288.89,679.25,643.12,398,501.47,453.39,560.74,407.5,1703.77,551.16,807.84,619.57,464.32,412.36,688.27,800.59,333.11,628.95,283.72,583.58,684.34,496.56,578.81,664.8,639.87,100.26,828,660.19,632.8,515.79,539.78,632.55,780.24,284.8,509.59,514.74,684.98,807.59,504.19,889.33,456.05,644.96,533.62,501.53,509.65,247.17,302.34,457.47,.,507.73,569.39,638.34,680.66,542.11,686.59,445.13,993.08,594.26,832.82,581.51,.,497.35,634.1,470.09,470.09,436.19,424.75,464.99,362.65,495.39,524.02,449.74,516.39,560.12,540.28,474.8
Long term,Age 65 and over,Mental health support,Residential,Numerator,Own provision,1594.79,74,0,0,0,63,0,0,0,0,0,0,0,0,203,0,0,0,0,0,473,0,0,174.38,0,0,73,526,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,391,513.16,0,0,0,0,0,854.71,163.61,48.4,0,0,0,108,584,309,0,15,0,0,0,0,173,687,307,1421,0,409.89,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,386,327,0,0,0,0,0,0,0,0,0,0,0,275,0,99.7,0,0,0,0,0,0,145,0,0,0,0,582.06,29,0,0,0,0,0,0,0,573.82,0,91,0,0,50,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,148,734,0,0,3110.95,137,1449.38,2082.73,3281.89,942,623.82,1130.76,1242,14000.53
Long term,Age 65 and over,Mental health support,Residential,Denominator,Own provision,2195.29,52,0,0,0,25.29,0,0,0,0,0,0,0,0,279.43,0,0,0,0,0,514,0,0,109,0,0,261,866,0,0,0,0,0,0,0,0,0,714.26,0,0,0,0,0,0,386.43,1197,0,0,0,0,0,808.71,204,52.14,0,0,0,104,501.29,127.29,0,36,0,0,0,0,421,1348.86,395,857.14,0,364,332.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,551,444,804,0,0,0,0,0,0,0,0,0,0,712,0,128,0,0,0,0,0,0,163,0,0,0,0,664.86,139.71,0,0,0,0,0,0,0,475.45,0,105,0,0,118.8,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,135.14,1167,0,0,4492.98,77.29,2029.43,1833.43,3718.57,1047,594.25,1807.57,1730.14,17330.67
Long term,Age 65 and over,Mental health support,Residential,Unit costs,Own provision,726.46,1423.08,.,.,.,2491.1,.,.,.,.,.,.,.,.,726.48,.,.,.,.,.,920.23,.,.,1599.81,.,.,279.69,607.39,.,.,.,.,.,.,.,.,.,856.83,.,.,.,.,.,.,1011.83,428.71,.,.,.,.,.,1056.88,802.02,928.29,.,.,.,1038.46,1164.99,2427.53,.,416.67,.,.,.,.,410.93,509.32,777.22,1657.84,.,1126.08,853.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4403.85,.,.,700.54,736.49,0,.,.,.,.,.,.,.,.,.,.,386.24,.,778.91,.,.,.,.,.,.,889.57,.,.,.,.,875.46,207.57,.,.,.,.,.,.,.,1206.9,.,866.67,.,.,420.88,.,.,.,.,.,.,.,.,.,.,.,832.82,.,.,.,1095.16,628.96,.,.,692.4,1772.54,714.18,1135.97,882.57,899.71,1049.76,625.57,717.86,807.85
Long term,Age 65 and over,Mental health support,Residential,Numerator,Provision by others,2565.82,4356,2624,2399.6,1901,916,2018,461,2026,1473,1141,1050.43,804,1450,1489,20,2541,970,157.72,722,1970,1703,382,2695.53,354,1865.7,1712,1202,2753,2675,1915,2041,1189,3121,556,803,1755.97,5865,1028,1964.5,3606,1025,3363.16,621.72,3424,6253.09,878,1765,1674.87,2324,3494,4121.3,2079.63,1399.07,883,1141.57,1756,743,3421,2550,323,2707,1010.17,765,3133,1933,1144,2242,12148,4236,122,1776.4,2255,8328,8093.96,1252,4315.5,1336,1334,1151,76,238.54,418.25,0,469,96.79,3438,482.75,1009,1715,466.27,1005,984,2076.61,2114.38,1638.6,633,2704,553,1371.34,2070.32,1752.48,200.91,2112,840,199,818,1318.04,448,238,1178,313.02,1656.83,671,982.1,49,346,479.79,594.87,384,186,1221.99,561,280,361,225,955.75,3265.3,4571,237,562,358.65,2009,554,0,8902,861,6979,426,2549,2069,589.27,861,3842,0,2044,0,2438.72,1925,5705,1272,1992.91,53167.12,21170.03,19233.95,26393.73,28989.4,31173.48,30771.62,30577.28,29232.55,270709.17
Long term,Age 65 and over,Mental health support,Residential,Denominator,Provision by others,5301.29,8969,5231.07,4812,4066.29,1829.57,4668,975,4226,4426,2665.8,2064.31,1812,3741,3205,52,8290,1932,1743,4810,4767,4413,2221.29,6142,774,4693.86,5756,2464,6786,6626,4251,5111,2718.57,7487,1112,8458,3015,14298.43,2211.5,4618,7251.57,2327,8135,2009.7,6873.71,13440.6,600,4630,5261,5482.81,6652.4,8371.14,4319,3138.3,1041,2054.68,3371,1654,8609.14,6201.71,482,5383,2792,1580.29,6999,1404,2597,4786.81,23871,9010.43,167,4422.71,4607,21586,14472,3483,7163,3007,2135.57,1602.14,52.14,409,569,0,1003,148,11900.57,710.71,1873,4309,929.8,2517,1894,4292,1241,2973,783.57,4364.29,1191,3325.57,3008,2189,603.14,3358,3218,341,1213,2654.32,774,358,1841,3122,2001,1073,1552,95,641,758.5,843.57,1310.43,365,2374,819,346.71,716,253,2095.71,5477.09,8566.1,549,1102.71,1451,6691.5,1211,0,17532.92,1512.14,10933,625.86,4702,3013.43,1323.83,867,6465.14,0,3515,0,4903.43,3134.05,12530.4,2705.86,4568.93,128005.18,45745.04,55004.15,55649.66,57864.95,70362.08,60203.74,53998.1,54675.21,581508.12
Long term,Age 65 and over,Mental health support,Residential,Unit costs,Provision by others,484,485.67,501.62,498.67,467.5,500.66,432.31,472.82,479.41,332.81,428.01,508.85,443.71,387.6,464.59,384.62,306.51,502.07,90.49,150.1,413.26,385.91,171.97,438.87,457.36,397.48,297.43,487.82,405.69,403.71,450.48,399.33,437.36,416.86,500,94.94,582.41,410.18,464.84,425.4,497.27,440.48,413.42,309.36,498.13,465.24,1463.33,381.21,318.36,423.87,525.22,492.32,481.51,445.8,848.22,555.6,520.91,449.21,397.37,411.18,670.12,502.88,361.81,484.09,447.64,1376.78,440.51,468.37,508.9,470.12,730.54,401.65,489.47,385.81,559.28,359.46,602.47,444.3,624.66,718.41,1457.61,583.22,735.06,.,467.6,653.98,288.89,679.25,538.71,398,501.47,399.28,519.54,483.83,1703.77,551.16,807.84,619.57,464.32,412.36,688.27,800.59,333.11,628.95,261.03,583.58,674.36,496.56,578.81,664.8,639.87,100.26,828,625.35,632.8,515.79,539.78,632.55,705.18,293.03,509.59,514.74,684.98,807.59,504.19,889.33,456.05,596.17,533.62,431.69,509.65,247.17,300.23,457.47,.,507.73,569.39,638.34,680.66,542.11,686.59,445.13,993.08,594.26,.,581.51,.,497.35,614.22,455.29,470.09,436.19,415.35,462.78,349.68,474.28,500.98,443.04,511.12,566.27,534.66,465.53
